,precision,recall,f1-score,support
The Eiffel Tower,0.8297872340425532,0.8931297709923665,0.8602941176470589,131.0
The Great Wall of China,0.3282442748091603,0.3115942028985507,0.31970260223048325,138.0
The Mona Lisa,0.7804878048780488,0.9014084507042254,0.8366013071895425,142.0
aircraft carrier,0.4925373134328358,0.20625,0.2907488986784141,160.0
airplane,0.7309941520467836,0.8333333333333334,0.778816199376947,150.0
alarm clock,0.7755102040816326,0.7450980392156863,0.76,153.0
ambulance,0.6456692913385826,0.6259541984732825,0.6356589147286822,131.0
angel,0.8092105263157895,0.8424657534246576,0.825503355704698,146.0
animal migration,0.5300546448087432,0.5878787878787879,0.5574712643678161,165.0
ant,0.8322147651006712,0.7380952380952381,0.7823343848580442,168.0
anvil,0.8525641025641025,0.8209876543209876,0.8364779874213837,162.0
apple,0.896551724137931,0.8387096774193549,0.8666666666666667,155.0
arm,0.7407407407407407,0.6451612903225806,0.6896551724137931,155.0
asparagus,0.6106194690265486,0.45695364238410596,0.5227272727272727,151.0
axe,0.6733333333333333,0.7651515151515151,0.7163120567375887,132.0
backpack,0.7569444444444444,0.7218543046357616,0.7389830508474576,151.0
banana,0.696551724137931,0.6601307189542484,0.6778523489932886,153.0
bandage,0.856,0.7697841726618705,0.8106060606060606,139.0
barn,0.7419354838709677,0.7278481012658228,0.7348242811501597,158.0
baseball,0.7891156462585034,0.7160493827160493,0.7508090614886731,162.0
baseball bat,0.6666666666666666,0.704225352112676,0.684931506849315,142.0
basket,0.7043478260869566,0.6585365853658537,0.680672268907563,123.0
basketball,0.6363636363636364,0.7046979865771812,0.6687898089171974,149.0
bat,0.6836734693877551,0.5491803278688525,0.6090909090909091,122.0
bathtub,0.6097560975609756,0.5725190839694656,0.5905511811023622,131.0
beach,0.5277777777777778,0.42857142857142855,0.4730290456431535,133.0
bear,0.35353535353535354,0.2916666666666667,0.319634703196347,120.0
beard,0.7039473684210527,0.7535211267605634,0.7278911564625851,142.0
bed,0.7828947368421053,0.8263888888888888,0.8040540540540541,144.0
bee,0.7586206896551724,0.8396946564885496,0.7971014492753623,131.0
belt,0.6993006993006993,0.6535947712418301,0.6756756756756757,153.0
bench,0.6542056074766355,0.5263157894736842,0.5833333333333334,133.0
bicycle,0.7443609022556391,0.7388059701492538,0.7415730337078652,134.0
binoculars,0.7142857142857143,0.7786885245901639,0.7450980392156863,122.0
bird,0.5042016806722689,0.4838709677419355,0.49382716049382713,124.0
birthday cake,0.5793103448275863,0.56,0.5694915254237288,150.0
blackberry,0.5379310344827586,0.4936708860759494,0.5148514851485149,158.0
blueberry,0.5986842105263158,0.6232876712328768,0.610738255033557,146.0
book,0.782258064516129,0.7578125,0.7698412698412699,128.0
boomerang,0.6428571428571429,0.7443609022556391,0.6898954703832753,133.0
bottlecap,0.8309859154929577,0.4097222222222222,0.5488372093023256,144.0
bowtie,0.9716312056737588,0.8954248366013072,0.9319727891156463,153.0
bracelet,0.625,0.6818181818181818,0.6521739130434783,154.0
brain,0.5962732919254659,0.6442953020134228,0.6193548387096774,149.0
bread,0.6875,0.5833333333333334,0.6311475409836066,132.0
bridge,0.635593220338983,0.5555555555555556,0.5928853754940712,135.0
broccoli,0.78125,0.704225352112676,0.7407407407407407,142.0
broom,0.6776315789473685,0.6866666666666666,0.6821192052980133,150.0
bucket,0.6993006993006993,0.7092198581560284,0.704225352112676,141.0
bulldozer,0.717741935483871,0.7416666666666667,0.7295081967213115,120.0
bus,0.53,0.35570469798657717,0.42570281124497994,149.0
bush,0.6666666666666666,0.5294117647058824,0.5901639344262295,136.0
butterfly,0.84,0.9130434782608695,0.875,138.0
cactus,0.8421052631578947,0.8648648648648649,0.8533333333333334,148.0
cake,0.5491803278688525,0.4855072463768116,0.5153846153846153,138.0
calculator,0.7559523809523809,0.8355263157894737,0.79375,152.0
calendar,0.544,0.48226950354609927,0.5112781954887218,141.0
camel,0.8705035971223022,0.8642857142857143,0.8673835125448028,140.0
camera,0.8211920529801324,0.8611111111111112,0.8406779661016949,144.0
camouflage,0.22789115646258504,0.41358024691358025,0.29385964912280704,162.0
campfire,0.7177914110429447,0.8297872340425532,0.7697368421052632,141.0
candle,0.622093023255814,0.7985074626865671,0.6993464052287581,134.0
cannon,0.7046979865771812,0.7094594594594594,0.7070707070707071,148.0
canoe,0.6506849315068494,0.6418918918918919,0.6462585034013606,148.0
car,0.6223404255319149,0.7748344370860927,0.6902654867256637,151.0
carrot,0.8040540540540541,0.8321678321678322,0.8178694158075601,143.0
castle,0.7041420118343196,0.8380281690140845,0.7652733118971061,142.0
cat,0.6178861788617886,0.5846153846153846,0.6007905138339921,130.0
ceiling fan,0.7054263565891473,0.728,0.7165354330708661,125.0
cell phone,0.6407185628742516,0.7588652482269503,0.6948051948051948,141.0
cello,0.5563380281690141,0.5766423357664233,0.5663082437275986,137.0
chair,0.912,0.8636363636363636,0.8871595330739299,132.0
chandelier,0.7819548872180451,0.7272727272727273,0.7536231884057971,143.0
church,0.7909090909090909,0.6590909090909091,0.71900826446281,132.0
circle,0.6847290640394089,0.86875,0.7658402203856749,160.0
